Protein,Model,HR_95CI,P,FDR,HR,lower,upper
BRD1,Model 0,"0.96(0.80,1.15)",0.640760484,0.708183427,0.96,0.8,1.15
BRD2,Model 0,"1.28(1.11,1.47)",0.000592676,0.001225647,1.28,1.11,1.47
BRD3,Model 0,"1.11(1.00,1.23)",0.049650777,0.077446725,1.11,1,1.23
BRDT,Model 0,"1.35(1.17,1.56)",3.50E-05,8.32E-05,1.35,1.17,1.56
BRK1,Model 0,"1.48(1.34,1.64)",2.42E-14,1.12E-13,1.48,1.34,1.64
BRME1,Model 0,"1.10(0.97,1.25)",0.126067447,0.177405757,1.1,0.97,1.25
BRSK2,Model 0,"0.97(0.84,1.11)",0.639075325,0.707123891,0.97,0.84,1.11
BSG,Model 0,"4.85(3.95,5.96)",2.92E-51,4.73E-50,4.85,3.95,5.96
BSND,Model 0,"1.05(0.89,1.24)",0.549648432,0.627187738,1.05,0.89,1.24
BST1,Model 0,"1.05(0.94,1.16)",0.37472513,0.454400905,1.05,0.94,1.16
BST2,Model 0,"1.37(1.28,1.48)",8.87E-18,4.69E-17,1.37,1.28,1.48
BTC,Model 0,"1.00(0.94,1.06)",0.96561688,0.975303109,1,0.94,1.06
BTD,Model 0,"0.67(0.52,0.87)",0.002042012,0.003977768,0.67,0.52,0.87
BTLA,Model 0,"1.02(0.95,1.08)",0.623773436,0.694835258,1.02,0.95,1.08
BTN1A1,Model 0,"1.03(0.90,1.18)",0.684690926,0.748800563,1.03,0.9,1.18
BTN2A1,Model 0,"4.26(3.72,4.88)",6.78E-97,3.42E-95,4.26,3.72,4.88
BTN3A2,Model 0,"2.25(2.05,2.47)",5.07E-67,1.22E-65,2.25,2.05,2.47
BTNL10,Model 0,"1.07(0.93,1.22)",0.349362945,0.427801929,1.07,0.93,1.22
C19ORF12,Model 0,"1.13(1.06,1.21)",0.000136333,0.000302503,1.13,1.06,1.21
C1GALT1C1,Model 0,"1.07(0.90,1.27)",0.465035202,0.544249615,1.07,0.9,1.27
C1QA,Model 0,"3.29(2.73,3.96)",1.47E-36,1.57E-35,3.29,2.73,3.96
C1QBP,Model 0,"1.09(1.02,1.17)",0.011971675,0.02078317,1.09,1.02,1.17
C1QL2,Model 0,"0.66(0.58,0.76)",1.48E-09,5.13E-09,0.66,0.58,0.76
C1QTNF1,Model 0,"1.35(1.22,1.49)",1.15E-08,3.66E-08,1.35,1.22,1.49
C1QTNF5,Model 0,"1.21(1.04,1.40)",0.014837155,0.025455048,1.21,1.04,1.4
C1QTNF6,Model 0,"1.38(1.19,1.59)",2.30E-05,5.56E-05,1.38,1.19,1.59
C1QTNF9,Model 0,"0.98(0.87,1.09)",0.681289145,0.746198163,0.98,0.87,1.09
C1R,Model 0,"0.98(0.74,1.30)",0.889563358,0.9168814,0.98,0.74,1.3
C1RL,Model 0,"1.74(1.33,2.28)",6.64E-05,0.000152302,1.74,1.33,2.28
C1S,Model 0,"1.10(0.85,1.41)",0.462843097,0.542118669,1.1,0.85,1.41
C2,Model 0,"1.08(0.88,1.32)",0.450529702,0.530890529,1.08,0.88,1.32
C2CD2L,Model 0,"1.17(1.06,1.30)",0.001987275,0.003876314,1.17,1.06,1.3
C2ORF69,Model 0,"1.17(1.08,1.27)",0.000103386,0.000232757,1.17,1.08,1.27
C3,Model 0,"0.99(0.88,1.12)",0.873816121,0.906087739,0.99,0.88,1.12
C4BPB,Model 0,"1.20(1.08,1.35)",0.001099605,0.002212852,1.2,1.08,1.35
C5,Model 0,"1.54(1.10,2.16)",0.011938169,0.020737331,1.54,1.1,2.16
C7,Model 0,"1.93(1.63,2.29)",2.34E-14,1.09E-13,1.93,1.63,2.29
C7ORF50,Model 0,"1.82(1.61,2.06)",1.18E-21,7.29E-21,1.82,1.61,2.06
C8B,Model 0,"0.89(0.74,1.06)",0.176812982,0.239024957,0.89,0.74,1.06
C9,Model 0,"1.48(1.33,1.64)",4.38E-13,1.89E-12,1.48,1.33,1.64
C9ORF40,Model 0,"1.18(1.11,1.26)",5.46E-07,1.53E-06,1.18,1.11,1.26
CA1,Model 0,"1.16(1.08,1.25)",9.80E-05,0.000221149,1.16,1.08,1.25
CA11,Model 0,"1.22(1.08,1.39)",0.002113403,0.004111349,1.22,1.08,1.39
CA12,Model 0,"1.70(1.50,1.93)",7.87E-17,4.03E-16,1.7,1.5,1.93
CA13,Model 0,"1.01(0.97,1.06)",0.679097994,0.744636178,1.01,0.97,1.06
CA14,Model 0,"0.88(0.78,0.99)",0.035157136,0.056654988,0.88,0.78,0.99
CA2,Model 0,"1.25(1.18,1.33)",9.91E-13,4.19E-12,1.25,1.18,1.33
CA3,Model 0,"1.29(1.20,1.38)",5.79E-13,2.49E-12,1.29,1.2,1.38
CA4,Model 0,"1.23(1.02,1.49)",0.030252937,0.049241124,1.23,1.02,1.49
CA5A,Model 0,"1.19(1.14,1.25)",1.22E-13,5.45E-13,1.19,1.14,1.25
CA6,Model 0,"0.80(0.75,0.86)",1.95E-10,7.30E-10,0.8,0.75,0.86
CA7,Model 0,"0.97(0.82,1.14)",0.703662099,0.766390649,0.97,0.82,1.14
CA8,Model 0,"1.28(1.07,1.52)",0.0062447,0.011453847,1.28,1.07,1.52
CA9,Model 0,"1.29(1.17,1.41)",2.54E-07,7.31E-07,1.29,1.17,1.41
CABP2,Model 0,"0.96(0.88,1.04)",0.323924376,0.400618034,0.96,0.88,1.04
CACNA1C,Model 0,"1.08(0.91,1.28)",0.355568013,0.434054598,1.08,0.91,1.28
CACNA1H,Model 0,"0.92(0.83,1.03)",0.142709608,0.198245507,0.92,0.83,1.03
CACNB1,Model 0,"1.05(0.96,1.15)",0.273670468,0.347836901,1.05,0.96,1.15
CACNB3,Model 0,"1.03(0.97,1.10)",0.34540531,0.423774582,1.03,0.97,1.1
CACYBP,Model 0,"1.04(0.98,1.09)",0.207793741,0.275048833,1.04,0.98,1.09
CADPS,Model 0,"1.00(0.87,1.14)",0.97085377,0.979126052,1,0.87,1.14
CALB1,Model 0,"1.62(1.46,1.80)",4.55E-19,2.50E-18,1.62,1.46,1.8
CALB2,Model 0,"1.18(1.03,1.35)",0.01683298,0.028676955,1.18,1.03,1.35
CALCA,Model 0,"1.36(1.29,1.44)",2.74E-28,2.09E-27,1.36,1.29,1.44
CALCB,Model 0,"1.34(1.19,1.50)",7.24E-07,2.00E-06,1.34,1.19,1.5
CALCOCO1,Model 0,"1.04(0.99,1.08)",0.1148223,0.163312769,1.04,0.99,1.08
CALCOCO2,Model 0,"1.19(1.11,1.28)",1.27E-06,3.42E-06,1.19,1.11,1.28
CALY,Model 0,"1.01(0.87,1.17)",0.880559587,0.911294894,1.01,0.87,1.17
CAMKK1,Model 0,"1.54(1.41,1.70)",5.64E-20,3.23E-19,1.54,1.41,1.7
CAMLG,Model 0,"0.90(0.81,1.00)",0.053707507,0.083196774,0.9,0.81,1
CAMSAP1,Model 0,"1.02(0.97,1.07)",0.416537507,0.496039772,1.02,0.97,1.07
CANT1,Model 0,"6.27(5.04,7.80)",5.77E-61,1.15E-59,6.27,5.04,7.8
CAPG,Model 0,"1.45(1.36,1.56)",2.10E-25,1.47E-24,1.45,1.36,1.56
CAPN3,Model 0,"1.15(1.01,1.31)",0.034483826,0.055692904,1.15,1.01,1.31
CAPS,Model 0,"1.06(1.01,1.12)",0.0303494,0.049370613,1.06,1.01,1.12
CARHSP1,Model 0,"1.15(1.05,1.26)",0.001579865,0.003127596,1.15,1.05,1.26
CASC3,Model 0,"1.35(1.20,1.53)",1.18E-06,3.19E-06,1.35,1.2,1.53
CASP1,Model 0,"1.11(1.04,1.19)",0.000980483,0.001988202,1.11,1.04,1.19
CASP10,Model 0,"1.10(1.03,1.18)",0.003524063,0.00668199,1.1,1.03,1.18
CASP2,Model 0,"1.04(0.97,1.11)",0.243306873,0.314222057,1.04,0.97,1.11
CASP3,Model 0,"1.06(1.00,1.11)",0.038804301,0.062018916,1.06,1,1.11
CASP4,Model 0,"0.93(0.90,0.97)",0.000152108,0.000335211,0.93,0.9,0.97
CASP7,Model 0,"1.08(1.02,1.16)",0.015711435,0.026876035,1.08,1.02,1.16
CASP8,Model 0,"1.23(1.14,1.31)",7.74E-09,2.51E-08,1.23,1.14,1.31
CASP9,Model 0,"1.05(0.96,1.15)",0.285829302,0.359905805,1.05,0.96,1.15
CASQ2,Model 0,"0.88(0.77,1.00)",0.049305424,0.077031481,0.88,0.77,1
CAT,Model 0,"1.21(1.10,1.33)",5.69E-05,0.000131012,1.21,1.1,1.33
CBLIF,Model 0,"1.17(1.10,1.25)",2.20E-06,5.79E-06,1.17,1.1,1.25
CBLN1,Model 0,"0.97(0.91,1.03)",0.324831789,0.401230467,0.97,0.91,1.03
CBLN4,Model 0,"0.63(0.54,0.73)",9.76E-10,3.45E-09,0.63,0.54,0.73
CBS,Model 0,"1.13(1.02,1.25)",0.019397859,0.032552729,1.13,1.02,1.25
CBX2,Model 0,"1.04(0.91,1.19)",0.576517459,0.650472948,1.04,0.91,1.19
CC2D1A,Model 0,"1.17(1.10,1.24)",2.62E-07,7.54E-07,1.17,1.1,1.24
CCAR2,Model 0,"1.19(1.10,1.28)",1.83E-05,4.47E-05,1.19,1.1,1.28
CCDC134,Model 0,"1.20(1.08,1.33)",0.000834717,0.001704458,1.2,1.08,1.33
CCDC28A,Model 0,"0.83(0.69,1.01)",0.065803014,0.09940238,0.83,0.69,1.01
CCDC50,Model 0,"1.21(1.14,1.28)",2.99E-10,1.11E-09,1.21,1.14,1.28
CCDC80,Model 0,"2.23(2.02,2.47)",3.14E-56,5.70E-55,2.23,2.02,2.47
CCER2,Model 0,"1.05(0.96,1.15)",0.273742876,0.347836901,1.05,0.96,1.15
CCL11,Model 0,"1.80(1.61,2.02)",5.12E-24,3.44E-23,1.8,1.61,2.02
CCL13,Model 0,"1.15(1.08,1.23)",2.35E-05,5.66E-05,1.15,1.08,1.23
CCL14,Model 0,"1.70(1.55,1.86)",1.24E-30,1.03E-29,1.7,1.55,1.86
CCL15,Model 0,"1.73(1.58,1.89)",1.31E-32,1.17E-31,1.73,1.58,1.89
CCL16,Model 0,"1.58(1.45,1.72)",3.66E-26,2.64E-25,1.58,1.45,1.72
CCL17,Model 0,"1.20(1.14,1.26)",4.20E-13,1.82E-12,1.2,1.14,1.26
CCL18,Model 0,"1.34(1.28,1.40)",4.51E-34,4.34E-33,1.34,1.28,1.4
CCL19,Model 0,"1.09(1.06,1.13)",1.18E-07,3.47E-07,1.09,1.06,1.13
CCL2,Model 0,"1.39(1.28,1.52)",4.70E-15,2.26E-14,1.39,1.28,1.52
CCL20,Model 0,"1.13(1.08,1.18)",4.61E-07,1.30E-06,1.13,1.08,1.18
CCL21,Model 0,"1.42(1.30,1.55)",3.59E-15,1.74E-14,1.42,1.3,1.55
CCL22,Model 0,"1.29(1.19,1.40)",7.46E-10,2.66E-09,1.29,1.19,1.4
CCL23,Model 0,"1.88(1.70,2.09)",3.05E-33,2.82E-32,1.88,1.7,2.09
CCL24,Model 0,"1.17(1.11,1.24)",8.04E-09,2.60E-08,1.17,1.11,1.24
CCL25,Model 0,"1.47(1.34,1.60)",9.91E-17,5.05E-16,1.47,1.34,1.6
CCL26,Model 0,"1.06(1.01,1.12)",0.010546083,0.018550941,1.06,1.01,1.12
CCL27,Model 0,"1.41(1.31,1.52)",1.60E-20,9.46E-20,1.41,1.31,1.52
CCL28,Model 0,"1.28(1.19,1.38)",1.34E-11,5.33E-11,1.28,1.19,1.38
CCL3,Model 0,"1.37(1.32,1.41)",4.71E-68,1.17E-66,1.37,1.32,1.41
CCL4,Model 0,"1.28(1.21,1.35)",8.97E-20,5.09E-19,1.28,1.21,1.35
CCL5,Model 0,"1.01(0.97,1.06)",0.53387561,0.612059985,1.01,0.97,1.06
CCL7,Model 0,"1.34(1.26,1.43)",2.01E-20,1.18E-19,1.34,1.26,1.43
CCL8,Model 0,"1.22(1.13,1.32)",2.66E-07,7.63E-07,1.22,1.13,1.32
CCN1,Model 0,"1.20(1.13,1.28)",7.62E-09,2.47E-08,1.2,1.13,1.28
CCN2,Model 0,"0.96(0.89,1.05)",0.375993538,0.455749744,0.96,0.89,1.05
CCN3,Model 0,"2.44(2.19,2.70)",1.97E-62,4.26E-61,2.44,2.19,2.7
CCN4,Model 0,"1.49(1.34,1.65)",6.71E-14,3.05E-13,1.49,1.34,1.65
CCN5,Model 0,"1.86(1.68,2.06)",1.25E-33,1.17E-32,1.86,1.68,2.06
CCND2,Model 0,"1.25(1.07,1.46)",0.004211375,0.007898018,1.25,1.07,1.46
CCNE1,Model 0,"1.04(0.98,1.10)",0.159998461,0.219649979,1.04,0.98,1.1
CCS,Model 0,"1.18(1.07,1.29)",0.000794121,0.001624971,1.18,1.07,1.29
CCT5,Model 0,"1.18(1.07,1.30)",0.001135937,0.002284392,1.18,1.07,1.3
CD101,Model 0,"1.02(0.90,1.16)",0.709828414,0.771380338,1.02,0.9,1.16
CD109,Model 0,"1.21(1.06,1.39)",0.006281379,0.011508613,1.21,1.06,1.39
CD14,Model 0,"1.87(1.69,2.06)",1.16E-34,1.15E-33,1.87,1.69,2.06
CD160,Model 0,"1.67(1.52,1.84)",3.32E-27,2.46E-26,1.67,1.52,1.84
CD163,Model 0,"1.79(1.63,1.97)",3.68E-33,3.38E-32,1.79,1.63,1.97
CD164,Model 0,"1.50(1.35,1.67)",1.01E-13,4.52E-13,1.5,1.35,1.67
CD164L2,Model 0,"1.07(0.92,1.24)",0.3977865,0.477409199,1.07,0.92,1.24
CD177,Model 0,"1.02(0.98,1.06)",0.292072143,0.366659784,1.02,0.98,1.06
CD1C,Model 0,"0.83(0.69,1.00)",0.048712365,0.076268153,0.83,0.69,1
CD2,Model 0,"1.30(1.16,1.45)",2.91E-06,7.58E-06,1.3,1.16,1.45
CD200,Model 0,"3.25(2.92,3.62)",2.48E-102,1.37E-100,3.25,2.92,3.62
CD200R1,Model 0,"1.45(1.28,1.65)",1.35E-08,4.28E-08,1.45,1.28,1.65
CD207,Model 0,"1.12(0.99,1.26)",0.074531391,0.11114998,1.12,0.99,1.26
CD209,Model 0,"0.88(0.78,0.99)",0.035516765,0.057171418,0.88,0.78,0.99
CD22,Model 0,"2.05(1.86,2.26)",5.02E-48,7.15E-47,2.05,1.86,2.26
CD226,Model 0,"1.19(1.04,1.36)",0.009244881,0.016440348,1.19,1.04,1.36
CD244,Model 0,"2.15(1.84,2.53)",3.62E-21,2.18E-20,2.15,1.84,2.53
CD248,Model 0,"1.39(1.22,1.58)",5.41E-07,1.51E-06,1.39,1.22,1.58
CD27,Model 0,"3.25(2.99,3.53)",2.48E-166,5.18E-164,3.25,2.99,3.53
CD274,Model 0,"2.72(2.50,2.95)",6.55E-126,6.37E-124,2.72,2.5,2.95
CD276,Model 0,"1.88(1.66,2.14)",5.48E-22,3.43E-21,1.88,1.66,2.14
CD28,Model 0,"2.29(2.12,2.47)",4.84E-101,2.62E-99,2.29,2.12,2.47
CD2AP,Model 0,"1.24(1.15,1.32)",1.57E-09,5.41E-09,1.24,1.15,1.32
CD300A,Model 0,"3.09(2.63,3.64)",5.98E-42,7.43E-41,3.09,2.63,3.64
CD300C,Model 0,"2.48(2.20,2.79)",8.04E-50,1.26E-48,2.48,2.2,2.79
CD300E,Model 0,"2.40(2.18,2.63)",1.03E-74,3.09E-73,2.4,2.18,2.63
CD300LF,Model 0,"1.93(1.77,2.11)",4.09E-47,5.69E-46,1.93,1.77,2.11
CD300LG,Model 0,"1.29(1.15,1.46)",2.68E-05,6.43E-05,1.29,1.15,1.46
CD302,Model 0,"2.97(2.66,3.33)",6.28E-81,2.16E-79,2.97,2.66,3.33
CD33,Model 0,"1.14(1.07,1.21)",2.07E-05,5.03E-05,1.14,1.07,1.21
CD34,Model 0,"0.92(0.76,1.11)",0.3896341,0.46936121,0.92,0.76,1.11
CD36,Model 0,"1.34(1.19,1.50)",1.14E-06,3.10E-06,1.34,1.19,1.5
CD38,Model 0,"2.40(2.14,2.70)",9.86E-49,1.45E-47,2.4,2.14,2.7
CD3D,Model 0,"1.14(0.98,1.32)",0.082830602,0.121907943,1.14,0.98,1.32
CD3E,Model 0,"1.02(0.88,1.19)",0.757409066,0.813399953,1.02,0.88,1.19
CD3G,Model 0,"1.02(0.96,1.08)",0.533431495,0.611950198,1.02,0.96,1.08
CD4,Model 0,"1.97(1.82,2.13)",2.93E-62,6.25E-61,1.97,1.82,2.13
CD40,Model 0,"1.53(1.40,1.66)",5.92E-23,3.80E-22,1.53,1.4,1.66
CD40LG,Model 0,"1.03(0.97,1.09)",0.387557214,0.467824335,1.03,0.97,1.09
CD46,Model 0,"2.51(2.25,2.80)",9.83E-61,1.94E-59,2.51,2.25,2.8
CD48,Model 0,"4.84(4.25,5.52)",1.95E-122,1.73E-120,4.84,4.25,5.52
CD5,Model 0,"3.11(2.83,3.41)",2.10E-125,1.98E-123,3.11,2.83,3.41
CD55,Model 0,"2.12(1.90,2.37)",1.24E-41,1.53E-40,2.12,1.9,2.37
CD58,Model 0,"1.59(1.22,2.07)",0.000564806,0.0011705,1.59,1.22,2.07
CD59,Model 0,"3.25(2.83,3.72)",8.56E-65,1.94E-63,3.25,2.83,3.72
CD5L,Model 0,"1.31(1.17,1.47)",3.00E-06,7.79E-06,1.31,1.17,1.47
CD6,Model 0,"1.26(1.16,1.38)",6.79E-08,2.03E-07,1.26,1.16,1.38
CD63,Model 0,"1.07(0.98,1.17)",0.156686813,0.215508947,1.07,0.98,1.17
CD69,Model 0,"1.08(1.02,1.14)",0.00759262,0.01370238,1.08,1.02,1.14
CD7,Model 0,"1.52(1.36,1.71)",1.98E-13,8.74E-13,1.52,1.36,1.71
CD70,Model 0,"2.26(2.05,2.49)",3.59E-61,7.29E-60,2.26,2.05,2.49
CD72,Model 0,"3.04(2.78,3.32)",1.29E-132,1.51E-130,3.04,2.78,3.32
CD74,Model 0,"4.15(3.75,4.59)",1.66E-169,4.04E-167,4.15,3.75,4.59
CD79B,Model 0,"3.48(3.28,3.70)",0,0,3.48,3.28,3.7
CD80,Model 0,"4.24(3.83,4.70)",9.30E-171,2.47E-168,4.24,3.83,4.7
CD82,Model 0,"0.98(0.85,1.12)",0.766557036,0.820809148,0.98,0.85,1.12
CD83,Model 0,"3.14(2.82,3.50)",4.87E-96,2.41E-94,3.14,2.82,3.5
CD84,Model 0,"1.00(0.86,1.16)",0.962793647,0.972788045,1,0.86,1.16
CD86,Model 0,"2.27(1.91,2.69)",9.88E-21,5.87E-20,2.27,1.91,2.69
CD8A,Model 0,"1.26(1.15,1.38)",5.03E-07,1.41E-06,1.26,1.15,1.38
CD93,Model 0,"2.23(1.94,2.56)",3.46E-29,2.72E-28,2.23,1.94,2.56
CD99,Model 0,"3.25(2.67,3.95)",2.89E-32,2.57E-31,3.25,2.67,3.95
CD99L2,Model 0,"1.72(1.43,2.06)",5.83E-09,1.91E-08,1.72,1.43,2.06
CDA,Model 0,"1.02(0.91,1.14)",0.734846644,0.793840991,1.02,0.91,1.14
CDAN1,Model 0,"0.97(0.76,1.23)",0.795533972,0.844098546,0.97,0.76,1.23
CDC123,Model 0,"0.98(0.90,1.08)",0.736075544,0.794580624,0.98,0.9,1.08
CDC25A,Model 0,"1.01(0.88,1.16)",0.917337512,0.938551344,1.01,0.88,1.16
CDC26,Model 0,"1.12(1.04,1.21)",0.003477095,0.006597217,1.12,1.04,1.21
CDC27,Model 0,"1.18(1.10,1.27)",7.81E-06,1.97E-05,1.18,1.1,1.27
CDC37,Model 0,"1.11(1.05,1.17)",0.000345445,0.000731471,1.11,1.05,1.17
CDC42BPB,Model 0,"1.02(0.97,1.08)",0.418313088,0.497545505,1.02,0.97,1.08
CDCP1,Model 0,"1.97(1.85,2.11)",1.56E-89,6.42E-88,1.97,1.85,2.11
CDH1,Model 0,"1.45(1.32,1.59)",4.89E-15,2.34E-14,1.45,1.32,1.59
CDH15,Model 0,"1.25(1.18,1.33)",8.89E-13,3.77E-12,1.25,1.18,1.33
CDH17,Model 0,"1.05(0.99,1.13)",0.119820899,0.169702101,1.05,0.99,1.13
CDH2,Model 0,"2.20(1.96,2.46)",3.02E-43,3.85E-42,2.2,1.96,2.46
CDH22,Model 0,"0.99(0.81,1.20)",0.888156959,0.916175625,0.99,0.81,1.2
CDH23,Model 0,"0.97(0.79,1.19)",0.752487257,0.809006918,0.97,0.79,1.19
CDH3,Model 0,"2.12(1.89,2.38)",6.06E-38,6.76E-37,2.12,1.89,2.38
CDH4,Model 0,"1.00(0.89,1.13)",0.991385686,0.995245178,1,0.89,1.13
CDH5,Model 0,"1.65(1.43,1.91)",1.36E-11,5.43E-11,1.65,1.43,1.91
CDH6,Model 0,"1.85(1.65,2.07)",6.13E-26,4.36E-25,1.85,1.65,2.07
CDHR1,Model 0,"1.17(1.06,1.29)",0.002759854,0.005315814,1.17,1.06,1.29
CDHR2,Model 0,"1.28(1.22,1.35)",2.83E-21,1.71E-20,1.28,1.22,1.35
CDHR5,Model 0,"1.06(0.94,1.19)",0.314992999,0.391395556,1.06,0.94,1.19
CDK1,Model 0,"1.69(1.46,1.96)",1.25E-12,5.25E-12,1.69,1.46,1.96
CDK5RAP3,Model 0,"0.99(0.90,1.09)",0.825212733,0.86806836,0.99,0.9,1.09
CDKL5,Model 0,"1.09(0.99,1.21)",0.085386274,0.125353404,1.09,0.99,1.21
CDKN1A,Model 0,"1.08(1.03,1.12)",0.000768237,0.001574212,1.08,1.03,1.12
CDKN2D,Model 0,"1.01(0.96,1.06)",0.776111159,0.82841305,1.01,0.96,1.06
CDNF,Model 0,"1.69(1.52,1.87)",4.56E-23,2.95E-22,1.69,1.52,1.87
CDON,Model 0,"0.62(0.52,0.73)",1.21E-08,3.87E-08,0.62,0.52,0.73
CDSN,Model 0,"1.47(1.32,1.63)",2.50E-12,1.04E-11,1.47,1.32,1.63
CEACAM1,Model 0,"1.54(1.26,1.89)",3.01E-05,7.18E-05,1.54,1.26,1.89
CEACAM16,Model 0,"1.02(0.95,1.09)",0.591625467,0.665208457,1.02,0.95,1.09
CEACAM18,Model 0,"0.97(0.89,1.05)",0.425255428,0.505391067,0.97,0.89,1.05
CEACAM19,Model 0,"1.43(1.26,1.63)",5.88E-08,1.78E-07,1.43,1.26,1.63
CEACAM20,Model 0,"1.31(1.18,1.46)",2.75E-07,7.88E-07,1.31,1.18,1.46
CEACAM21,Model 0,"1.23(1.17,1.29)",3.91E-15,1.89E-14,1.23,1.17,1.29
CEACAM3,Model 0,"0.99(0.90,1.10)",0.864800472,0.898973791,0.99,0.9,1.1
CEACAM5,Model 0,"1.25(1.16,1.34)",7.34E-10,2.62E-09,1.25,1.16,1.34
CEACAM6,Model 0,"1.33(1.19,1.50)",1.66E-06,4.42E-06,1.33,1.19,1.5
CEACAM8,Model 0,"1.41(1.29,1.53)",3.62E-15,1.75E-14,1.41,1.29,1.53
CEBPA,Model 0,"1.18(1.04,1.33)",0.008266699,0.014818147,1.18,1.04,1.33
CEBPB,Model 0,"1.18(1.05,1.33)",0.004478175,0.008362439,1.18,1.05,1.33
CELA2A,Model 0,"0.97(0.89,1.06)",0.521443509,0.600163597,0.97,0.89,1.06
CELA3A,Model 0,"1.02(0.94,1.11)",0.602177176,0.675511854,1.02,0.94,1.11
CELSR2,Model 0,"0.94(0.78,1.15)",0.558703299,0.635533164,0.94,0.78,1.15
CEMIP2,Model 0,"1.20(1.03,1.40)",0.016985953,0.028903836,1.2,1.03,1.4
CEND1,Model 0,"1.01(0.92,1.11)",0.757190438,0.813399953,1.01,0.92,1.11
CENPF,Model 0,"1.35(1.23,1.47)",2.24E-11,8.84E-11,1.35,1.23,1.47
CENPJ,Model 0,"0.98(0.91,1.06)",0.627911929,0.698211284,0.98,0.91,1.06
CEP112,Model 0,"1.07(0.95,1.20)",0.270558678,0.344540489,1.07,0.95,1.2
CEP152,Model 0,"1.05(0.92,1.20)",0.439973425,0.519709709,1.05,0.92,1.2
CEP164,Model 0,"1.03(0.96,1.11)",0.415967715,0.495563333,1.03,0.96,1.11
CEP170,Model 0,"1.05(0.97,1.12)",0.220621132,0.290448019,1.05,0.97,1.12
CEP20,Model 0,"1.16(1.09,1.24)",2.16E-06,5.71E-06,1.16,1.09,1.24
CEP290,Model 0,"0.92(0.83,1.03)",0.16371599,0.224226403,0.92,0.83,1.03
CEP350,Model 0,"1.14(0.99,1.33)",0.069782551,0.104871358,1.14,0.99,1.33
CEP43,Model 0,"1.17(1.09,1.25)",6.72E-06,1.70E-05,1.17,1.09,1.25
CEP85,Model 0,"1.17(1.09,1.25)",1.62E-05,3.97E-05,1.17,1.09,1.25
CERT,Model 0,"1.08(1.00,1.17)",0.050650334,0.078753448,1.08,1,1.17
CES1,Model 0,"1.03(0.97,1.08)",0.348459811,0.426983906,1.03,0.97,1.08
CES2,Model 0,"1.03(0.95,1.11)",0.51398683,0.592749424,1.03,0.95,1.11
CES3,Model 0,"0.91(0.85,0.98)",0.007879168,0.014175706,0.91,0.85,0.98
CETN2,Model 0,"1.06(0.99,1.14)",0.077324911,0.114846765,1.06,0.99,1.14
CETN3,Model 0,"0.93(0.87,1.00)",0.05430503,0.083988711,0.93,0.87,1
CFB,Model 0,"1.21(1.04,1.41)",0.014809613,0.025422733,1.21,1.04,1.41
CFC1,Model 0,"1.42(1.31,1.54)",2.00E-17,1.05E-16,1.42,1.31,1.54
CFD,Model 0,"2.34(1.95,2.80)",2.58E-20,1.51E-19,2.34,1.95,2.8
CFH,Model 0,"1.36(1.10,1.68)",0.004033925,0.007579834,1.36,1.1,1.68
CFHR2,Model 0,"1.09(0.99,1.21)",0.077978565,0.115758724,1.09,0.99,1.21
CFHR4,Model 0,"1.11(1.02,1.20)",0.010328047,0.018189323,1.11,1.02,1.2
CFHR5,Model 0,"1.20(1.05,1.37)",0.0071501,0.012967884,1.2,1.05,1.37
CFI,Model 0,"1.58(1.24,2.01)",0.000229864,0.000496084,1.58,1.24,2.01
CFP,Model 0,"1.07(0.85,1.33)",0.565756428,0.641307753,1.07,0.85,1.33
CGA,Model 0,"1.06(1.01,1.10)",0.008624886,0.015422331,1.06,1.01,1.1
CGB3_CGB5_CGB8,Model 0,"1.07(0.95,1.20)",0.267417551,0.341135539,1.07,0.95,1.2
CGN,Model 0,"1.10(0.96,1.26)",0.151672101,0.209202898,1.1,0.96,1.26
CGREF1,Model 0,"1.61(1.45,1.79)",8.83E-19,4.79E-18,1.61,1.45,1.79
CHAC2,Model 0,"1.16(1.08,1.25)",0.00010607,0.000238066,1.16,1.08,1.25
CHAD,Model 0,"0.76(0.68,0.84)",2.75E-07,7.88E-07,0.76,0.68,0.84
CHCHD10,Model 0,"2.26(2.09,2.45)",4.86E-90,2.03E-88,2.26,2.09,2.45
CHCHD6,Model 0,"1.94(1.71,2.19)",1.33E-25,9.39E-25,1.94,1.71,2.19
CHEK2,Model 0,"0.97(0.84,1.12)",0.69140809,0.753887835,0.97,0.84,1.12
CHGA,Model 0,"1.34(1.27,1.41)",3.03E-29,2.41E-28,1.34,1.27,1.41
CHGB,Model 0,"1.66(1.49,1.85)",3.52E-20,2.03E-19,1.66,1.49,1.85
CHI3L1,Model 0,"1.37(1.30,1.44)",1.54E-34,1.52E-33,1.37,1.3,1.44
CHIT1,Model 0,"1.10(1.06,1.14)",4.55E-07,1.28E-06,1.1,1.06,1.14
CHL1,Model 0,"1.08(0.93,1.26)",0.291937671,0.366648602,1.08,0.93,1.26
CHM,Model 0,"1.04(0.95,1.14)",0.402118173,0.481815784,1.04,0.95,1.14
CHMP1A,Model 0,"1.04(0.98,1.11)",0.166666718,0.227434394,1.04,0.98,1.11
CHMP6,Model 0,"1.01(0.91,1.11)",0.893513351,0.919978485,1.01,0.91,1.11
